Day,Time (HHMM),AirTemp (degC),AirPress (Pa),WindVel (m/s),WindDir (deg)
1,314,32.26,101126,5.34976,292.5
1,315,32.25833333,101124.1667,5.358333333,292.5
1,316,32.25666667,101122.3333,5.366906667,292.5
1,317,32.255,101120.5,5.37548,292.5
1,318,32.25333333,101118.6667,5.384053333,292.5
1,319,32.25166667,101116.8333,5.392626667,292.5
1,320,32.25,101115,5.4012,292.5
1,321,32.24833333,101113.1667,5.409773333,292.5
1,322,32.24666667,101111.3333,5.418346667,292.5
1,323,32.245,101109.5,5.42692,292.5
1,324,32.24333333,101107.6667,5.435493333,292.5
1,325,32.24166667,101105.8333,5.444066667,292.5
1,326,32.24,101104,5.45264,292.5
1,327,32.23833333,101102.1667,5.461213333,292.5
1,328,32.23666667,101100.3333,5.469786667,292.5
1,329,32.235,101098.5,5.47836,292.5
1,330,32.23333333,101096.6667,5.486933333,292.5
1,331,32.23166667,101094.8333,5.495506667,292.5
1,332,32.23,101093,5.50408,292.5
1,333,32.22833333,101091.1667,5.512653333,292.5
1,334,32.22666667,101089.3333,5.521226667,292.5
1,335,32.225,101087.5,5.5298,292.5
1,336,32.22333333,101085.6667,5.538373333,292.5
1,337,32.22166667,101083.8333,5.546946667,292.5
1,338,32.22,101082,5.55552,292.5
1,339,32.21833333,101080.1667,5.564093333,292.5
1,340,32.21666667,101078.3333,5.572666667,292.5
1,341,32.215,101076.5,5.58124,292.5
1,342,32.21333333,101074.6667,5.589813333,292.5
1,343,32.21166667,101072.8333,5.598386667,292.5
1,344,32.21,101071,5.60696,292.5
1,345,32.20833333,101069.1667,5.615533333,292.5
1,346,32.20666667,101067.3333,5.624106667,292.5
1,347,32.205,101065.5,5.63268,292.5
1,348,32.20333333,101063.6667,5.641253333,292.5
1,349,32.20166667,101061.8333,5.649826667,292.5
1,350,32.2,101060,5.6584,292.5
1,351,32.2,101058.1667,5.675546667,292.875
1,352,32.2,101056.3333,5.692693333,293.25
1,353,32.2,101054.5,5.70984,293.625
1,354,32.2,101052.6667,5.726986667,294
1,355,32.2,101050.8333,5.744133333,294.375
1,356,32.2,101049,5.76128,294.75
1,357,32.2,101047.1667,5.778426667,295.125
1,358,32.2,101045.3333,5.795573333,295.5
1,359,32.2,101043.5,5.81272,295.875
1,400,32.2,101041.6667,5.829866667,296.25
1,401,32.2,101039.8333,5.847013333,296.625
