Title = "Title"
Variables = "Distance (km)", "Baseline (%)", "Strategy (%)", "Altitude (m)"
Zone T = " ", I = 4716, J = 1, K = 1, F = POINT
   0.001637  97.987765 97.987765   24.7
   0.802849  98.047749 98.047749   25.0
   1.753308  97.978373 97.762437   24.8
   2.751947  97.979676 97.502928   24.8
   3.743837  97.770256 97.551519   25.0
   4.746193  97.919832 97.155274   25.1
   5.740052  97.669230 97.086687   24.4
   6.742762  97.684735 96.931183   22.6
   7.739782  97.515706 96.406986   21.8
   8.742082  97.482579 96.363199   20.3
   9.729659  97.101279 96.023968   19.6
  10.734430  97.272962 95.850634   18.3
  11.732412  97.186516 95.571075   18.2
  12.727220  96.899388 95.161203   17.9
  13.731447  96.935053 94.979992   17.7
  14.729576  96.769646 94.587774   17.1
  15.729118  96.614042 94.154281   16.7
  16.725397  96.234970 94.039597   16.5
  17.729354  96.253167 93.705288   16.7
  18.728575  96.102178 93.474364   14.2
  19.726702  95.890594 93.546020   12.2
  20.729299  95.822993 93.133180   11.2
  21.732272  95.897045 92.835867   10.6
  22.726183  95.666791 92.593017   10.6
  23.726036  95.572593 92.389415   10.5
  24.728415  95.583863 92.258672   10.3
  25.732744  95.754262 92.076361   10.1
  26.720182  95.415043 92.038535    9.8
  27.718775  95.259101 91.969375    9.5
  28.718120  95.114735 91.916568    9.0
  29.720139  95.089273 91.852556    8.7
  30.720014  94.999889 91.611779    8.7
  31.720787  94.969064 91.335529    8.7
  32.721335  94.954380 91.193906    9.2
  33.721709  94.932766 90.994781    9.5
  34.722637  95.013011 90.700861    9.6
  35.723902  95.085836 90.519276    9.4
  36.721774  95.027361 90.375636    9.2
  37.723542  95.140487 90.198763    9.1
  38.723261  95.184912 90.074605    9.1
  39.720283  95.078961 89.987042    9.1
  40.720285  95.039511 89.995875    9.1
  41.718513  94.892673 89.645980    9.1
  42.720098  94.890823 89.436668    9.0
  43.719377  94.830576 89.320001    8.9
  44.717502  94.674845 89.504044    8.9
  45.719219  94.646079 89.339333    8.6
  46.718671  94.562955 89.336624    8.6
  47.720104  94.568798 89.374347    8.7
  48.719298  94.492094 88.966455    9.5
  49.721419  94.545914 88.833876   10.2
  50.720500  94.506010 88.911792   10.5
  51.721511  94.539980 88.759932   12.9
  52.724417  94.682890 88.445385   13.7
  53.720208  94.582817 88.162104   13.9
  54.718776  94.464883 88.166520   13.9
  55.718848  94.346440 87.941282   14.0
  56.720229  94.300885 87.803187   13.8
  57.725537  94.520194 87.492215   13.3
  58.724534  94.617377 87.422789   13.0
  59.723046  94.614561 87.224334   10.5
  60.720344  94.524227 87.079841   10.2
  61.721728  94.587491 86.840537    9.7
  62.718863  94.464269 86.778225    8.4
  63.717736  94.319378 86.796282    8.6
  64.721403  94.432477 86.785125    9.3
  65.724722  94.614883 86.584781    9.5
  66.721814  94.573282 86.780224   10.8
  67.719497  94.497835 86.566319   11.9
  68.715668  94.261434 86.473878   11.7
  69.718598  94.264484 86.448245   12.0
  70.721064  94.358620 86.338759   12.7
  71.721486  94.388798 86.207500   12.6
  72.721455  94.393753 86.019474   12.6
  73.720315  94.375313 85.940737   12.7
  74.717761  94.252189 85.728861   12.9
  75.720392  94.170383 85.573964   13.0
  76.720262  94.075024 85.454850   14.8
  77.719331  93.900267 85.340526   15.6
  78.719797  93.886006 85.261624   15.1
  79.718502  93.801942 85.215590   13.2
  80.717506  93.694332 85.152708   12.6
  81.722484  93.872953 85.074860   10.8
  82.723859  93.987423 84.987794    9.9
  83.723524  94.074657 84.846620    7.6
  84.723611  94.162191 84.801170    6.6
  85.711582  94.122048 84.682259    5.8
  86.712352  94.362897 84.845940    5.3
  87.708782  94.287791 84.806372    5.3
  88.706172  94.173983 84.576047    5.0
  89.709163  94.311223 84.413015    5.8
  90.709470  94.342587 84.230310    6.4
  91.708122  94.245922 83.987541    7.1
  92.707817  94.134278 83.733788    7.5
  93.707808  94.054228 83.375695    7.5
  94.705893  93.909565 83.170679    9.3
  95.707487  93.997326 83.103689    9.5
  96.705778  93.973753 82.840239    9.8
  97.705727  93.955596 82.866375   12.5
